"ï..report_date","location","location_type","data_field","data_field_code","time_period","time_period_type","value","unit","report_date"
"2017-07-22","Colombia-Santander","province","zika_confirmed_laboratory_pregnant","CO0005",NA,NA,0,"cases",NA
"2017-07-22","Colombia-Valle","province","zika_confirmed_laboratory_pregnant","CO0005",NA,NA,0,"cases",NA
"2017-07-22","Colombia-Bogota","province","zika_confirmed_laboratory_pregnant","CO0005",NA,NA,1,"cases",NA
"2017-07-22","Colombia-Tolima","province","zika_confirmed_laboratory_pregnant","CO0005",NA,NA,0,"cases",NA
"2017-07-22","Colombia-Casanare","province","zika_confirmed_laboratory_pregnant","CO0005",NA,NA,0,"cases",NA
"2017-07-22","Colombia-Atlantico","province","zika_confirmed_laboratory_pregnant","CO0005",NA,NA,0,"cases",NA
"2017-07-22","Colombia-Antioquia","province","zika_confirmed_laboratory_pregnant","CO0005",NA,NA,0,"cases",NA
"2017-07-22","Colombia-Meta","province","zika_confirmed_laboratory_pregnant","CO0005",NA,NA,0,"cases",NA
"2017-07-22","Colombia-Barranquilla","province","zika_confirmed_laboratory_pregnant","CO0005",NA,NA,0,"cases",NA
"2017-07-22","Colombia-Huila","province","zika_confirmed_laboratory_pregnant","CO0005",NA,NA,0,"cases",NA
"2017-07-22","Colombia-Norte_Santander","province","zika_confirmed_laboratory_pregnant","CO0005",NA,NA,0,"cases",NA
"2017-07-22","Colombia-Cesar","province","zika_confirmed_laboratory_pregnant","CO0005",NA,NA,0,"cases",NA
"2017-07-22","Colombia-Cundinamarca","province","zika_confirmed_laboratory_pregnant","CO0005",NA,NA,0,"cases",NA
"2017-07-22","Colombia-Narino","province","zika_confirmed_laboratory_pregnant","CO0005",NA,NA,0,"cases",NA
"2017-07-22","Colombia-Sucre","province","zika_confirmed_laboratory_pregnant","CO0005",NA,NA,0,"cases",NA
"2017-07-22","Colombia-Cauca","province","zika_confirmed_laboratory_pregnant","CO0005",NA,NA,0,"cases",NA
"2017-07-22","Colombia-Bolivar","province","zika_confirmed_laboratory_pregnant","CO0005",NA,NA,0,"cases",NA
"2017-07-22","Colombia-Guajira","province","zika_confirmed_laboratory_pregnant","CO0005",NA,NA,0,"cases",NA
"2017-07-22","Colombia-Guaviare","province","zika_confirmed_laboratory_pregnant","CO0005",NA,NA,0,"cases",NA
"2017-07-22","Colombia-Quindi­o","province","zika_confirmed_laboratory_pregnant","CO0005",NA,NA,0,"cases",NA
"2017-07-22","Colombia-Risaralda","province","zika_confirmed_laboratory_pregnant","CO0005",NA,NA,1,"cases",NA
"2017-07-22","Colombia-Santander","province","zika_suspected_clinic_pregnant","CO0008",NA,NA,52,"cases",NA
"2017-07-22","Colombia-Valle","province","zika_suspected_clinic_pregnant","CO0008",NA,NA,56,"cases",NA
"2017-07-22","Colombia-Bogota","province","zika_suspected_clinic_pregnant","CO0008",NA,NA,15,"cases",NA
"2017-07-22","Colombia-Tolima","province","zika_suspected_clinic_pregnant","CO0008",NA,NA,21,"cases",NA
"2017-07-22","Colombia-Casanare","province","zika_suspected_clinic_pregnant","CO0008",NA,NA,11,"cases",NA
"2017-07-22","Colombia-Atlantico","province","zika_suspected_clinic_pregnant","CO0008",NA,NA,10,"cases",NA
"2017-07-22","Colombia-Antioquia","province","zika_suspected_clinic_pregnant","CO0008",NA,NA,10,"cases",NA
"2017-07-22","Colombia-Meta","province","zika_suspected_clinic_pregnant","CO0008",NA,NA,7,"cases",NA
"2017-07-22","Colombia-Barranquilla","province","zika_suspected_clinic_pregnant","CO0008",NA,NA,6,"cases",NA
"2017-07-22","Colombia-Huila","province","zika_suspected_clinic_pregnant","CO0008",NA,NA,6,"cases",NA
"2017-07-22","Colombia-Norte_Santander","province","zika_suspected_clinic_pregnant","CO0008",NA,NA,11,"cases",NA
"2017-07-22","Colombia-Cesar","province","zika_suspected_clinic_pregnant","CO0008",NA,NA,5,"cases",NA
"2017-07-22","Colombia-Cundinamarca","province","zika_suspected_clinic_pregnant","CO0008",NA,NA,1,"cases",NA
"2017-07-22","Colombia-Narino","province","zika_suspected_clinic_pregnant","CO0008",NA,NA,3,"cases",NA
"2017-07-22","Colombia-Sucre","province","zika_suspected_clinic_pregnant","CO0008",NA,NA,3,"cases",NA
"2017-07-22","Colombia-Cauca","province","zika_suspected_clinic_pregnant","CO0008",NA,NA,1,"cases",NA
"2017-07-22","Colombia-Bolivar","province","zika_suspected_clinic_pregnant","CO0008",NA,NA,1,"cases",NA
"2017-07-22","Colombia-Guajira","province","zika_suspected_clinic_pregnant","CO0008",NA,NA,1,"cases",NA
"2017-07-22","Colombia-Guaviare","province","zika_suspected_clinic_pregnant","CO0008",NA,NA,1,"cases",NA
"2017-07-22","Colombia-Quindi­o","province","zika_suspected_clinic_pregnant","CO0008",NA,NA,1,"cases",NA
"2017-07-22","Colombia-Risaralda","province","zika_suspected_clinic_pregnant","CO0008",NA,NA,0,"cases",NA
"2017-07-22","Colombia-Valle","province","zika_suspected_pregnant","CO0006",NA,NA,0,"cases",NA
"2017-07-22","Colombia-Bogota","province","zika_suspected_pregnant","CO0006",NA,NA,6,"cases",NA
"2017-07-22","Colombia-Tolima","province","zika_suspected_pregnant","CO0006",NA,NA,0,"cases",NA
"2017-07-22","Colombia-Casanare","province","zika_suspected_pregnant","CO0006",NA,NA,0,"cases",NA
"2017-07-22","Colombia-Atlantico","province","zika_suspected_pregnant","CO0006",NA,NA,0,"cases",NA
"2017-07-22","Colombia-Antioquia","province","zika_suspected_pregnant","CO0006",NA,NA,0,"cases",NA
"2017-07-22","Colombia-Meta","province","zika_suspected_pregnant","CO0006",NA,NA,0,"cases",NA
"2017-07-22","Colombia-Barranquilla","province","zika_suspected_pregnant","CO0006",NA,NA,0,"cases",NA
"2017-07-22","Colombia-Huila","province","zika_suspected_pregnant","CO0006",NA,NA,1,"cases",NA
"2017-07-22","Colombia-Norte_Santander","province","zika_suspected_pregnant","CO0006",NA,NA,0,"cases",NA
"2017-07-22","Colombia-Cesar","province","zika_suspected_pregnant","CO0006",NA,NA,0,"cases",NA
"2017-07-22","Colombia-Cundinamarca","province","zika_suspected_pregnant","CO0006",NA,NA,2,"cases",NA
"2017-07-22","Colombia-Narino","province","zika_suspected_pregnant","CO0006",NA,NA,1,"cases",NA
"2017-07-22","Colombia-Sucre","province","zika_suspected_pregnant","CO0006",NA,NA,0,"cases",NA
"2017-07-22","Colombia-Cauca","province","zika_suspected_pregnant","CO0006",NA,NA,1,"cases",NA
"2017-07-22","Colombia-Bolivar","province","zika_suspected_pregnant","CO0006",NA,NA,0,"cases",NA
"2017-07-22","Colombia-Guajira","province","zika_suspected_pregnant","CO0006",NA,NA,0,"cases",NA
"2017-07-22","Colombia-Guaviare","province","zika_suspected_pregnant","CO0006",NA,NA,0,"cases",NA
"2017-07-22","Colombia-Quindi­o","province","zika_suspected_pregnant","CO0006",NA,NA,0,"cases",NA
"2017-07-22","Colombia-Risaralda","province","zika_suspected_pregnant","CO0006",NA,NA,0,"cases",NA
"2017-07-22","Colombia","country","microcephaly_cumulative_2016_2017","CO0011",NA,NA,180,"cases",NA
"2017-07-22","Colombia-Valle","province","zika_confirmed_laboratory","CO0001",NA,NA,0,"cases",NA
"2017-07-22","Colombia-Santander","province","zika_confirmed_laboratory","CO0001",NA,NA,0,"cases",NA
"2017-07-22","Colombia-Tolima","province","zika_confirmed_laboratory","CO0001",NA,NA,1,"cases",NA
"2017-07-22","Colombia-Cundinamarca","province","zika_confirmed_laboratory","CO0001",NA,NA,0,"cases",NA
"2017-07-22","Colombia-Meta","province","zika_confirmed_laboratory","CO0001",NA,NA,0,"cases",NA
"2017-07-22","Colombia-Antioquia","province","zika_confirmed_laboratory","CO0001",NA,NA,0,"cases",NA
"2017-07-22","Colombia-Casanare","province","zika_confirmed_laboratory","CO0001",NA,NA,0,"cases",NA
"2017-07-22","Colombia-Huila","province","zika_confirmed_laboratory","CO0001",NA,NA,0,"cases",NA
"2017-07-22","Colombia-Norte_Santander","province","zika_confirmed_laboratory","CO0001",NA,NA,1,"cases",NA
"2017-07-22","Colombia-Risaralda","province","zika_confirmed_laboratory","CO0001",NA,NA,1,"cases",NA
