report_date,location,location_type,time_period,data_field_original,value,data_field_code,data_field,unit,time_period_type
2016-01-30,Brazil-Alagoas,state,NA,cases_under_investigation,104,BR0001,microcephaly_under_investigation,cases,NA
2016-01-30,Brazil-Bahia,state,NA,cases_under_investigation,508,BR0001,microcephaly_under_investigation,cases,NA
2016-01-30,Brazil-Ceara,state,NA,cases_under_investigation,234,BR0001,microcephaly_under_investigation,cases,NA
2016-01-30,Brazil-Maranhao,state,NA,cases_under_investigation,132,BR0001,microcephaly_under_investigation,cases,NA
2016-01-30,Brazil-Paraiba,state,NA,cases_under_investigation,460,BR0001,microcephaly_under_investigation,cases,NA
2016-01-30,Brazil-Pernambuco,state,NA,cases_under_investigation,1159,BR0001,microcephaly_under_investigation,cases,NA
2016-01-30,Brazil-Piaui,state,NA,cases_under_investigation,66,BR0001,microcephaly_under_investigation,cases,NA
2016-01-30,Brazil-Rio_Grande_do_Norte,state,NA,cases_under_investigation,154,BR0001,microcephaly_under_investigation,cases,NA
2016-01-30,Brazil-Sergipe,state,NA,cases_under_investigation,178,BR0001,microcephaly_under_investigation,cases,NA
2016-01-30,Brazil-Espirito_Santo,state,NA,cases_under_investigation,52,BR0001,microcephaly_under_investigation,cases,NA
2016-01-30,Brazil-Minas_Gerais,state,NA,cases_under_investigation,21,BR0001,microcephaly_under_investigation,cases,NA
2016-01-30,Brazil-Rio_de_Janeiro,state,NA,cases_under_investigation,196,BR0001,microcephaly_under_investigation,cases,NA
2016-01-30,Brazil-Sao_Paulo,state,NA,cases_under_investigation,101,BR0001,microcephaly_under_investigation,cases,NA
2016-01-30,Brazil-Acre,state,NA,cases_under_investigation,20,BR0001,microcephaly_under_investigation,cases,NA
2016-01-30,Brazil-Amapa,state,NA,cases_under_investigation,NA,BR0001,microcephaly_under_investigation,cases,NA
2016-01-30,Brazil-Amazonas,state,NA,cases_under_investigation,NA,BR0001,microcephaly_under_investigation,cases,NA
2016-01-30,Brazil-Para,state,NA,cases_under_investigation,6,BR0001,microcephaly_under_investigation,cases,NA
2016-01-30,Brazil-Rondonia,state,NA,cases_under_investigation,1,BR0001,microcephaly_under_investigation,cases,NA
2016-01-30,Brazil-Roraima,state,NA,cases_under_investigation,7,BR0001,microcephaly_under_investigation,cases,NA
2016-01-30,Brazil-Tocantins,state,NA,cases_under_investigation,84,BR0001,microcephaly_under_investigation,cases,NA
2016-01-30,Brazil-Distrito_Federal,state,NA,cases_under_investigation,3,BR0001,microcephaly_under_investigation,cases,NA
2016-01-30,Brazil-Goias,state,NA,cases_under_investigation,69,BR0001,microcephaly_under_investigation,cases,NA
2016-01-30,Brazil-Mato_Grosso,state,NA,cases_under_investigation,111,BR0001,microcephaly_under_investigation,cases,NA
2016-01-30,Brazil-Mato_Grosso_do_Sul,state,NA,cases_under_investigation,3,BR0001,microcephaly_under_investigation,cases,NA
2016-01-30,Brazil-Parana,state,NA,cases_under_investigation,1,BR0001,microcephaly_under_investigation,cases,NA
2016-01-30,Brazil-Santa_Catarina,state,NA,cases_under_investigation,0,BR0001,microcephaly_under_investigation,cases,NA
2016-01-30,Brazil-Rio_Grande_do_Sul,state,NA,cases_under_investigation,0,BR0001,microcephaly_under_investigation,cases,NA
2016-01-30,Brazil-Alagoas,state,NA,cases_confirmed,15,BR0002,microcephaly_confirmed,cases,NA
2016-01-30,Brazil-Bahia,state,NA,cases_confirmed,99,BR0002,microcephaly_confirmed,cases,NA
2016-01-30,Brazil-Ceara,state,NA,cases_confirmed,7,BR0002,microcephaly_confirmed,cases,NA
2016-01-30,Brazil-Maranhao,state,NA,cases_confirmed,0,BR0002,microcephaly_confirmed,cases,NA
2016-01-30,Brazil-Paraiba,state,NA,cases_confirmed,37,BR0002,microcephaly_confirmed,cases,NA
