file,country_name,confirmed_codes,suspected_codes,location_filter,conf_cumulative_check,susp_cumulative_check
Argentina/Surveillance_Bulletin/data,Argentina,"AR0001,AR0003","AR0002,AR0004,AR0005,AR0006",province,yes,yes
Brazil/Epidemiological_Bulletin/data,Brazil,,BR0011,region,,yes
Colombia/Municipality_Zika/data,Colombia,"CO0001,CO0002","CO0003,CO0004",municipality,yes,yes
Dominican_Republic/Epidemiological_Bulletin/data,Dominican_Republic,DO0006,DO0005,country,yes,yes
Ecuador/GACETA-ZIKA/data,Ecuador,EC0002,EC0001,country,yes,yes
El_Salvador/Epidemiological_Bulletin/data,El_Salvador,SV0012,SV0010,country,yes,yes
Guatemala/SEMEPI/data,Guatamala,GT0008,GT0007,municipality,yes,yes
Mexico/DGE_Zika/data,Mexico,"MX0002,MX0003",,state,yes,
Nicaragua/MINSA_ZIKA_Search/data,Nicaragua,NI0003,NI0005,country,yes,no
Panama/MDS_Zika/data,Panama,"PA0003,PA0004",,country,yes,yes
Puerto_Rico/PRDH_Arbovirus/data,Puerto_Rico,PR0003,,territory,yes,
United_States/CDC_Report/data,United_States,,"US0001,US0002","state,territory",,yes
USVI/USVI_Zika/data,USVI,VI0002,"VI0001,VI0003,VI0004","county,territory",yes,yes
