report_date,location,location_type,data_field,data_field_code,time_period_year,time_period_week,value,unit
2016_07-01,Puerto_Rico,territory,zika_confirmed_4weeks,PR0001,NA,NA,595,cases
2016_07-01,Puerto_Rico,territory,zika_confirmed_cumulative_2016,PR0003,NA,NA,2377,cases
2016_07-01,Puerto_Rico,territory,flavi_confirmed_cumulative_2016,PR0005,NA,NA,117,cases
2016_07-01,Puerto_Rico,territory,zika_confirmed_cumulative_2015-2016,PR0006,NA,NA,2387,cases
2016_07-01,Puerto_Rico,territory,zika_confirmed_pregnant_cumulative_2015-2016,PR0007,NA,NA,339,cases
2016_07-01,Puerto_Rico,territory,zika_confirmed_pregnant_symptomatic_cumulative_2015-2016,PR0008,NA,NA,197,cases
2016_07-01,Puerto_Rico,territory,zika_confirmed_pregnant_asymptomatic_cumulative_2015-2016,PR0009,NA,NA,142,cases
2016_07-01,Puerto_Rico,territory,GBS_reported_cumulative_2015-2016,PR0010,NA,NA,16,cases
2016_07-01,Puerto_Rico,territory,GBS_reported_cumulative_2015-2016_zika,PR0013,NA,NA,10,cases
2016_07-01,Puerto_Rico,territory,GBS_reported_cumulative_2015-2016_flavi,PR0014,NA,NA,6,cases
2016_07-01,Puerto_Rico,territory,congenital_developmental_defects_reported_cummulative_2015-2016,PR0015,NA,NA,1,cases
2016_07-01,Puerto_Rico,territory,arbovirus_suspected_4weeks,PR0011,NA,NA,2089,cases
2016_07-01,Puerto_Rico,territory,arbovirus_suspected_cumulative_2016,PR0012,NA,NA,11959,cases
