"","report_date","location","location_type","data_field","data_field_code","time_period","time_period_type","value","unit"
"1",2016-06-25,"Colombia-Valle","province","zika_confirmed_laboratory","CO0001",NA,NA," 888","cases"
"2",2016-06-25,"Colombia-Valle","province","zika_confirmed_clinic","CO0002",NA,NA,"21920","cases"
"3",2016-06-25,"Colombia-Valle","province","zika_suspected","CO0003",NA,NA,"162","cases"
"4",2016-06-25,"Colombia-Norte_Santander","province","zika_confirmed_laboratory","CO0001",NA,NA,"1509","cases"
"5",2016-06-25,"Colombia-Norte_Santander","province","zika_confirmed_clinic","CO0002",NA,NA," 8359","cases"
"6",2016-06-25,"Colombia-Norte_Santander","province","zika_suspected","CO0003",NA,NA," 81","cases"
"7",2016-06-25,"Colombia-Santander","province","zika_confirmed_laboratory","CO0001",NA,NA," 434","cases"
"8",2016-06-25,"Colombia-Santander","province","zika_confirmed_clinic","CO0002",NA,NA," 7853","cases"
"9",2016-06-25,"Colombia-Santander","province","zika_suspected","CO0003",NA,NA,"366","cases"
"10",2016-06-25,"Colombia-Tolima","province","zika_confirmed_laboratory","CO0001",NA,NA," 817","cases"
"11",2016-06-25,"Colombia-Tolima","province","zika_confirmed_clinic","CO0002",NA,NA," 5758","cases"
"12",2016-06-25,"Colombia-Tolima","province","zika_suspected","CO0003",NA,NA,"184","cases"
"13",2016-06-25,"Colombia-Huila","province","zika_confirmed_laboratory","CO0001",NA,NA," 908","cases"
"14",2016-06-25,"Colombia-Huila","province","zika_confirmed_clinic","CO0002",NA,NA," 5682","cases"
"15",2016-06-25,"Colombia-Huila","province","zika_suspected","CO0003",NA,NA," 96","cases"
"16",2016-06-25,"Colombia-Cundinamarca","province","zika_confirmed_laboratory","CO0001",NA,NA," 316","cases"
"17",2016-06-25,"Colombia-Cundinamarca","province","zika_confirmed_clinic","CO0002",NA,NA," 4529","cases"
"18",2016-06-25,"Colombia-Cundinamarca","province","zika_suspected","CO0003",NA,NA,"311","cases"
"19",2016-06-25,"Colombia-Barranquilla","province","zika_confirmed_laboratory","CO0001",NA,NA," 235","cases"
"20",2016-06-25,"Colombia-Barranquilla","province","zika_confirmed_clinic","CO0002",NA,NA," 4214","cases"
"21",2016-06-25,"Colombia-Barranquilla","province","zika_suspected","CO0003",NA,NA,"  0","cases"
"22",2016-06-25,"Colombia-Meta","province","zika_confirmed_laboratory","CO0001",NA,NA," 565","cases"
"23",2016-06-25,"Colombia-Meta","province","zika_confirmed_clinic","CO0002",NA,NA," 3075","cases"
"24",2016-06-25,"Colombia-Meta","province","zika_suspected","CO0003",NA,NA," 65","cases"
"25",2016-06-25,"Colombia-Casanare","province","zika_confirmed_laboratory","CO0001",NA,NA," 275","cases"
"26",2016-06-25,"Colombia-Casanare","province","zika_confirmed_clinic","CO0002",NA,NA," 3240","cases"
"27",2016-06-25,"Colombia-Casanare","province","zika_suspected","CO0003",NA,NA," 22","cases"
"28",2016-06-25,"Colombia-Cordoba","province","zika_confirmed_laboratory","CO0001",NA,NA," 251","cases"
"29",2016-06-25,"Colombia-Cordoba","province","zika_confirmed_clinic","CO0002",NA,NA," 2388","cases"
"30",2016-06-25,"Colombia-Cordoba","province","zika_suspected","CO0003",NA,NA,"538","cases"
"31",2016-06-25,"Colombia-Antioquia","province","zika_confirmed_laboratory","CO0001",NA,NA," 334","cases"
"32",2016-06-25,"Colombia-Antioquia","province","zika_confirmed_clinic","CO0002",NA,NA," 1706","cases"
"33",2016-06-25,"Colombia-Antioquia","province","zika_suspected","CO0003",NA,NA,"255","cases"
"34",2016-06-25,"Colombia-Atlantico","province","zika_confirmed_laboratory","CO0001",NA,NA," 121","cases"
"35",2016-06-25,"Colombia-Atlantico","province","zika_confirmed_clinic","CO0002",NA,NA," 1801","cases"
"36",2016-06-25,"Colombia-Atlantico","province","zika_suspected","CO0003",NA,NA," 95","cases"
"37",2016-06-25,"Colombia-Santa_Marta","province","zika_confirmed_laboratory","CO0001",NA,NA," 154","cases"
"38",2016-06-25,"Colombia-Santa_Marta","province","zika_confirmed_clinic","CO0002",NA,NA," 1758","cases"
"39",2016-06-25,"Colombia-Santa_Marta","province","zika_suspected","CO0003",NA,NA,"  0","cases"
"40",2016-06-25,"Colombia-Arauca","province","zika_confirmed_laboratory","CO0001",NA,NA," 188","cases"
"41",2016-06-25,"Colombia-Arauca","province","zika_confirmed_clinic","CO0002",NA,NA," 1481","cases"
"42",2016-06-25,"Colombia-Arauca","province","zika_suspected","CO0003",NA,NA," 46","cases"
"43",2016-06-25,"Colombia-Sucre","province","zika_confirmed_laboratory","CO0001",NA,NA," 107","cases"
"44",2016-06-25,"Colombia-Sucre","province","zika_confirmed_clinic","CO0002",NA,NA," 1277","cases"
"45",2016-06-25,"Colombia-Sucre","province","zika_suspected","CO0003",NA,NA,"211","cases"
"46",2016-06-25,"Colombia-Cesar","province","zika_confirmed_laboratory","CO0001",NA,NA," 244","cases"
"47",2016-06-25,"Colombia-Cesar","province","zika_confirmed_clinic","CO0002",NA,NA," 1159","cases"
"48",2016-06-25,"Colombia-Cesar","province","zika_suspected","CO0003",NA,NA,"103","cases"
"49",2016-06-25,"Colombia-Magdalena","province","zika_confirmed_laboratory","CO0001",NA,NA," 140","cases"
"50",2016-06-25,"Colombia-Magdalena","province","zika_confirmed_clinic","CO0002",NA,NA,"  958","cases"
"51",2016-06-25,"Colombia-Magdalena","province","zika_suspected","CO0003",NA,NA,"163","cases"
"52",2016-06-25,"Colombia-Risaralda","province","zika_confirmed_laboratory","CO0001",NA,NA," 124","cases"
"53",2016-06-25,"Colombia-Risaralda","province","zika_confirmed_clinic","CO0002",NA,NA," 1107","cases"
"54",2016-06-25,"Colombia-Risaralda","province","zika_suspected","CO0003",NA,NA,"  2","cases"
"55",2016-06-25,"Colombia-Caqueta","province","zika_confirmed_laboratory","CO0001",NA,NA," 151","cases"
"56",2016-06-25,"Colombia-Caqueta","province","zika_confirmed_clinic","CO0002",NA,NA,"  940","cases"
"57",2016-06-25,"Colombia-Caqueta","province","zika_suspected","CO0003",NA,NA," 28","cases"
"58",2016-06-25,"Colombia-San_Andres","province","zika_confirmed_laboratory","CO0001",NA,NA,"  65","cases"
"59",2016-06-25,"Colombia-San_Andres","province","zika_confirmed_clinic","CO0002",NA,NA," 1037","cases"
"60",2016-06-25,"Colombia-San_Andres","province","zika_suspected","CO0003",NA,NA," 14","cases"
"61",2016-06-25,"Colombia-Cartagena","province","zika_confirmed_laboratory","CO0001",NA,NA," 102","cases"
"62",2016-06-25,"Colombia-Cartagena","province","zika_confirmed_clinic","CO0002",NA,NA,"  896","cases"
"63",2016-06-25,"Colombia-Cartagena","province","zika_suspected","CO0003",NA,NA,"  0","cases"
"64",2016-06-25,"Colombia-Bolivar","province","zika_confirmed_laboratory","CO0001",NA,NA," 139","cases"
"65",2016-06-25,"Colombia-Bolivar","province","zika_confirmed_clinic","CO0002",NA,NA,"  579","cases"
"66",2016-06-25,"Colombia-Bolivar","province","zika_suspected","CO0003",NA,NA,"148","cases"
"67",2016-06-25,"Colombia-Guajira","province","zika_confirmed_laboratory","CO0001",NA,NA,"  95","cases"
"68",2016-06-25,"Colombia-Guajira","province","zika_confirmed_clinic","CO0002",NA,NA,"  502","cases"
"69",2016-06-25,"Colombia-Guajira","province","zika_suspected","CO0003",NA,NA,"105","cases"
"70",2016-06-25,"Colombia-Putumayo","province","zika_confirmed_laboratory","CO0001",NA,NA," 105","cases"
"71",2016-06-25,"Colombia-Putumayo","province","zika_confirmed_clinic","CO0002",NA,NA,"  384","cases"
"72",2016-06-25,"Colombia-Putumayo","province","zika_suspected","CO0003",NA,NA,"  6","cases"
"73",2016-06-25,"Colombia-Buenaventura","province","zika_confirmed_laboratory","CO0001",NA,NA,"   5","cases"
"74",2016-06-25,"Colombia-Buenaventura","province","zika_confirmed_clinic","CO0002",NA,NA,"  446","cases"
"75",2016-06-25,"Colombia-Buenaventura","province","zika_suspected","CO0003",NA,NA,"  0","cases"
"76",2016-06-25,"Colombia-Quindio","province","zika_confirmed_laboratory","CO0001",NA,NA,"  24","cases"
"77",2016-06-25,"Colombia-Quindio","province","zika_confirmed_clinic","CO0002",NA,NA,"  323","cases"
"78",2016-06-25,"Colombia-Quindio","province","zika_suspected","CO0003",NA,NA," 10","cases"
"79",2016-06-25,"Colombia-Boyaca","province","zika_confirmed_laboratory","CO0001",NA,NA,"  84","cases"
"80",2016-06-25,"Colombia-Boyaca","province","zika_confirmed_clinic","CO0002",NA,NA,"  212","cases"
"81",2016-06-25,"Colombia-Boyaca","province","zika_suspected","CO0003",NA,NA," 30","cases"
"82",2016-06-25,"Colombia-Amazonas","province","zika_confirmed_laboratory","CO0001",NA,NA,"  28","cases"
"83",2016-06-25,"Colombia-Amazonas","province","zika_confirmed_clinic","CO0002",NA,NA,"  254","cases"
"84",2016-06-25,"Colombia-Amazonas","province","zika_suspected","CO0003",NA,NA," 43","cases"
"85",2016-06-25,"Colombia-Cauca","province","zika_confirmed_laboratory","CO0001",NA,NA,"  33","cases"
"86",2016-06-25,"Colombia-Cauca","province","zika_confirmed_clinic","CO0002",NA,NA,"  143","cases"
"87",2016-06-25,"Colombia-Cauca","province","zika_suspected","CO0003",NA,NA," 95","cases"
"88",2016-06-25,"Colombia-Caldas","province","zika_confirmed_laboratory","CO0001",NA,NA,"  72","cases"
"89",2016-06-25,"Colombia-Caldas","province","zika_confirmed_clinic","CO0002",NA,NA,"  162","cases"
"90",2016-06-25,"Colombia-Caldas","province","zika_suspected","CO0003",NA,NA," 28","cases"
"91",2016-06-25,"Colombia-Guaviare","province","zika_confirmed_laboratory","CO0001",NA,NA,"  15","cases"
"92",2016-06-25,"Colombia-Guaviare","province","zika_confirmed_clinic","CO0002",NA,NA,"  161","cases"
"93",2016-06-25,"Colombia-Guaviare","province","zika_suspected","CO0003",NA,NA," 20","cases"
"94",2016-06-25,"Colombia-unknown","province","zika_confirmed_laboratory","CO0001",NA,NA,"  54","cases"
"95",2016-06-25,"Colombia-unknown","province","zika_confirmed_clinic","CO0002",NA,NA,"    0","cases"
"96",2016-06-25,"Colombia-unknown","province","zika_suspected","CO0003",NA,NA," 64","cases"
