report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,value,unit,
2017-12-04,Panama-Kuna_Yala,province,Zika_confirmed_laboratory_2016,PA0002,NA,NA,153,cases,
2017-12-04,Panama-Herrera,province,Zika_confirmed_laboratory_2016,PA0002,NA,NA,100,cases,
2017-12-04,Panama-Metro,province,Zika_confirmed_laboratory_2016,PA0002,NA,NA,309,cases,
2017-12-04,Panama-San_Miguelito,province,Zika_confirmed_laboratory_2016,PA0002,NA,NA,65,cases,
2017-12-04,Panama-Bocas_del_Toro,province,Zika_confirmed_laboratory_2016,PA0002,NA,NA,25,cases,
2017-12-04,Panama-Panama_Oeste,province,Zika_confirmed_laboratory_2016,PA0002,NA,NA,71,cases,
2017-12-04,Panama-Los_Santos,province,Zika_confirmed_laboratory_2016,PA0002,NA,NA,10,cases,
2017-12-04,Panama-Panama_Norte,province,Zika_confirmed_laboratory_2016,PA0002,NA,NA,20,cases,
2017-12-04,Panama-Colon,province,Zika_confirmed_laboratory_2016,PA0002,NA,NA,5,cases,
2017-12-04,Panama-Darien,province,Zika_confirmed_laboratory_2016,PA0002,NA,NA,1,cases,
2017-12-04,Panama-Veraguas,province,Zika_confirmed_laboratory_2016,PA0002,NA,NA,2,cases,
2017-12-04,Panama-Cocle,province,Zika_confirmed_laboratory_2016,PA0002,NA,NA,3,cases,
2017-12-04,Panama-Panama_Este,province,Zika_confirmed_laboratory_2016,PA0002,NA,NA,1,cases,
2017-12-04,Panama-Ngabe_Bugle,province,Zika_confirmed_laboratory_2016,PA0002,NA,NA,1,cases,
2017-12-04,Panama-Chiriqui,province,Zika_confirmed_laboratory_2016,PA0002,NA,NA,0,cases,
2017-12-04,Panama-Importados,province,Zika_confirmed_laboratory_2016,PA0002,NA,NA,5,cases,
2017-12-04,Panama-Kuna_Yala,province,Zika_confirmed_laboratory_2017,PA0028,NA,NA,3,cases,
2017-12-04,Panama-Herrera,province,Zika_confirmed_laboratory_2017,PA0028,NA,NA,72,cases,
2017-12-04,Panama-Metro,province,Zika_confirmed_laboratory_2017,PA0028,NA,NA,134,cases,
2017-12-04,Panama-San_Miguelito,province,Zika_confirmed_laboratory_2017,PA0028,NA,NA,48,cases,
2017-12-04,Panama-Bocas_del_Toro,province,Zika_confirmed_laboratory_2017,PA0028,NA,NA,2,cases,
2017-12-04,Panama-Panama_Oeste,province,Zika_confirmed_laboratory_2017,PA0028,NA,NA,43,cases,
2017-12-04,Panama-Los_Santos,province,Zika_confirmed_laboratory_2017,PA0028,NA,NA,84,cases,
2017-12-04,Panama-Panama_Norte,province,Zika_confirmed_laboratory_2017,PA0028,NA,NA,15,cases,
2017-12-04,Panama-Colon,province,Zika_confirmed_laboratory_2017,PA0028,NA,NA,1,cases,
2017-12-04,Panama-Darien,province,Zika_confirmed_laboratory_2017,PA0028,NA,NA,3,cases,
2017-12-04,Panama-Veraguas,province,Zika_confirmed_laboratory_2017,PA0028,NA,NA,2,cases,
2017-12-04,Panama-Cocle,province,Zika_confirmed_laboratory_2017,PA0028,NA,NA,1,cases,
2017-12-04,Panama-Panama_Este,province,Zika_confirmed_laboratory_2017,PA0028,NA,NA,6,cases,
2017-12-04,Panama-Ngabe_Bugle,province,Zika_confirmed_laboratory_2017,PA0028,NA,NA,0,cases,
2017-12-04,Panama-Chiriqui,province,Zika_confirmed_laboratory_2017,PA0028,NA,NA,3,cases,
2017-12-04,Panama-Importados,province,Zika_confirmed_laboratory_2017,PA0028,NA,NA,0,cases,
2017-12-04,Panama,country,weekly_Zika_confirmed_imported,PA0019,NA,NA,4,cases,
